t_utc,t_unix,t_sclk,t_tid,tid,orbit,focusmode,alt,mass,species,density_bins,quality
2015-02-11T22:01:02,1423692061.979135,476964039.865732,5152.353335,14934,717,csn,1.823562e+02,44,CO2,5.200000,IV
2015-02-11T22:01:10,1423692069.980107,476964047.866528,5160.353335,14934,717,csn,1.785842e+02,44,CO2,5.300000,IV
2015-02-11T22:01:14,1423692073.980050,476964051.866925,5164.353335,14934,717,csn,1.763949e+02,44,CO2,5.400000,IV
2015-02-11T22:01:18,1423692077.980790,476964055.867322,5168.353335,14934,717,csn,1.749683e+02,44,CO2,5.500000,IV
2015-02-11T22:01:22,1423692081.981141,476964059.867720,5172.353335,14934,717,csn,1.735665e+02,44,CO2,5.600000,IV
2015-02-11T22:01:26,1423692085.981423,476964063.868117,5176.353335,14934,717,csn,1.721894e+02,44,CO2,5.700000,IV
2015-02-11T22:01:28,1423692087.982121,476964065.868316,5178.353335,14934,717,csn,1.711722e+02,44,CO2,5.800000,IV
2015-02-11T22:01:36,1423692095.982024,476964073.869112,5186.353335,14934,717,csn,1.695131e+02,44,CO2,5.900000,IV
2015-02-11T22:01:58,1423692117.985132,476964095.871298,5208.353335,14934,717,csn,1.647859e+02,44,CO2,6.000000,IV
2015-02-11T22:02:02,1423692121.985101,476964099.871695,5212.353335,14934,717,csn,1.609201e+02,44,CO2,6.100000,IV
2015-02-11T22:02:08,1423692127.985460,476964105.872291,5218.353335,14934,717,csn,1.595172e+02,44,CO2,6.200000,IV
2015-02-11T22:02:12,1423692131.986190,476964109.872690,5222.353335,14934,717,csn,1.581512e+02,44,CO2,6.300000,IV
2015-02-11T22:02:18,1423692137.986862,476964115.873286,5228.353335,14934,717,csn,1.568274e+02,44,CO2,6.400000,IV
2015-02-11T22:02:28,1423692147.988138,476964125.874280,5238.353335,14934,717,csn,1.547938e+02,44,CO2,6.500000,IV
2015-02-11T22:02:34,1423692153.988074,476964131.874876,5244.353335,14934,717,csn,1.528536e+02,44,CO2,6.600000,IV
2015-02-11T22:02:40,1423692159.989147,476964137.875472,5250.353335,14934,717,csn,1.514684e+02,44,CO2,6.700000,IV
2015-02-11T22:02:48,1423692167.989895,476964145.876267,5258.353335,14934,717,csn,1.499269e+02,44,CO2,6.800000,IV
2015-02-11T22:02:56,1423692175.990546,476964153.877063,5266.353335,14934,717,csn,1.482590e+02,44,CO2,6.900000,IV
2015-02-11T22:03:04,1423692183.991045,476964161.877858,5274.353335,14934,717,csn,1.466937e+02,44,CO2,7.000000,IV
2015-02-11T22:03:14,1423692193.991940,476964171.878852,5284.353335,14934,717,csn,1.450579e+02,44,CO2,7.100000,IV
2015-02-11T21:59:52,1423691991.972237,476963969.858775,5082.353335,14934,717,csn,2.159579e+02,44,CO2,7.200000,IV
2015-02-11T21:59:28,1423691967.969158,476963945.856389,5058.353335,14934,717,csn,2.294179e+02,44,CO2,7.300000,IV
2015-02-11T21:59:00,1423691939.966825,476963917.853606,5030.353335,14934,717,csn,2.420965e+02,44,CO2,7.400000,IV
2015-02-11T21:58:42,1423691921.965237,476963899.851817,5012.353335,14934,717,csn,2.513690e+02,44,CO2,7.500000,IV
2015-02-11T21:58:28,1423691907.963163,476963885.850426,4998.353335,14934,717,csn,2.585577e+02,44,CO2,7.600000,IV
2015-02-11T21:58:18,1423691897.962344,476963875.849432,4988.353335,14934,717,csn,2.675856e+02,44,CO2,7.700000,IV
2015-02-11T21:58:10,1423691889.962327,476963867.848637,4980.353335,14934,717,csn,2.731990e+02,44,CO2,7.800000,IV
2015-02-11T21:57:50,1423691869.960113,476963847.846649,4960.353335,14934,717,csn,2.806622e+02,44,CO2,7.900000,IV
2015-02-11T21:57:46,1423691865.959181,476963843.846251,4956.353335,14934,717,csn,2.832942e+02,44,CO2,8.000000,IV
2015-02-11T21:57:42,1423691861.959221,476963839.845854,4952.353335,14934,717,csn,2.852814e+02,44,CO2,8.100000,IV
2015-02-11T21:57:40,1423691859.958812,476963837.845655,4950.353335,14934,717,csn,2.879523e+02,44,CO2,8.200000,IV
2015-02-11T21:57:34,1423691853.958149,476963831.845059,4944.353335,14934,717,csn,2.968045e+02,44,CO2,8.300000,IV
2015-02-11T21:57:28,1423691847.957597,476963825.844463,4938.353335,14934,717,csn,2.995523e+02,44,CO2,8.400000,IV
2015-02-11T21:57:10,1423691829.956041,476963807.842674,4920.353335,14934,717,csn,3.079295e+02,44,CO2,8.500000,IV
2015-02-11T21:57:06,1423691825.955245,476963803.842276,4916.353335,14934,717,csn,3.107705e+02,44,CO2,8.600000,IV
2015-02-11T21:57:02,1423691821.955336,476963799.841878,4912.353335,14934,717,csn,3.129141e+02,44,CO2,8.700000,IV
2015-02-11T21:57:00,1423691819.955316,476963797.841679,4910.353335,14934,717,csn,3.143500e+02,44,CO2,8.800000,IV
2015-02-11T21:56:58,1423691817.954571,476963795.841481,4908.353335,14934,717,csn,3.157909e+02,44,CO2,8.900000,IV
2015-02-11T21:56:56,1423691815.954165,476963793.841282,4906.353335,14934,717,csn,3.179625e+02,44,CO2,9.000000,IV
