PDS_VERSION_ID               = PDS3
RECORD_TYPE                  = STREAM


OBJECT                       = TEXT
  INTERCHANGE_FORMAT         = ASCII
  PUBLICATION_DATE           = 2026-03-17
  NOTE                       = "List of data related events altering REMS 
                               regular acquisition cadence"
END_OBJECT                   = TEXT
END

The following table contains a list of dates and times with events
that may have an impact in the REMS regular acquisition cadence of 5
minutes every hour (due to reasons such as rover maintenance, REMS
powered off to not to conflict with other activities, tests, etc).

As part of those events, this table also shows the sols in which REMS
sensor underwent the following maintenance activities: GTS
calibration, HS regeneration, HS defrosting and PS calibration.

This table also reflects Humidity Sensor on/off tests and the beginning
of nominal use of the HS HRIM measurement strategy (for which the
tests were performed). Refer to catalogs for an explanation of this
strategy.

|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|  749 |                                        | X   |       |         |     |
|  750 |                                        | X   | X     |         |     |
|  752 |                                        | X   |       |         |     |
|  753 |                                        | X   |       |         |     |
|  760 |                                        |     | X     |         |     |
|  766 | Start Extended Mission                 |     |       |         |     |
|  772 |                                        |     | X     |         |     |
|  782 |                                        |     | X     |         |     |
|  783 |                                        | X   |       |         |     |
|  784 |                                        | X   |       |         |     |
|  786 |                                        | X   |       |         |     |
|  787 |                                        | X   |       |         |     |
|  788 |                                        | X   |       |         |     |
|  789 |                                        | X   |       |         |     |
|  790 |                                        | X   |       |         |     |
|  792 |                                        |     | X     |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
|  793 | Begin nominal use of HS HRIM           | X   |       |         |     |
|      | acquisition mode                       |     |       |         |     |
|  794 |                                        | X   |       |         |     |
|  795 |                                        | X   |       |         |     |
|  802 |                                        |     | X     |         |     |
|  805 |                                        |     |       |         | X   |
|  806 |                                        |     |       |         | X   |
|  812 |                                        |     | X     |         |     |
|  822 |                                        |     | X     |         |     |
|  830 |                                        | X   |       |         |     |
|  831 |                                        | X   |       |         |     |
|  833 |                                        |     | X     |         |     |
|  834 |                                        | X   |       |         |     |
|  835 |                                        | X   |       |         |     |
|  836 |                                        | X   |       |         |     |
|  837 |                                        | X   |       |         |     |
|  838 |                                        | X   |       |         |     |
|  840 |                                        | X   |       |         |     |
|  841 | No data at 04:00                       | X   |       |         |     |
|  842 | No data at 09:00, 10:00, 11:00         | X   |       |         |     |
|  844 |                                        |     | X     |         |     |
|  854 |                                        |     | X     |         |     |
|  864 |                                        |     | X     |         |     |
|  870 | No data at 03:00, 04:00, 16:00,        |     |       |         |     |
|      | 20:00-23:00                            |     |       |         |     |
|  871 | No data at 00:00, 01:00-04:00, 05:00,  |     |       |         |     |
|      | 6:00-10:00, 11:00-12:00                |     |       |         |     |
|  873 | No activity from 11:00 to 0:00         |     |       |         |     |
|  874 | No activity                            |     |       |         |     |
|  875 | No activity                            |     |       |         |     |
|  876 | No activity                            |     |       |         |     |
|  877 | No activity                            |     |       |         |     |
|  878 | No activity                            |     |       |         |     |
|  879 | No activity                            |     |       |         |     |
|  880 | No activity from 0:00 to 12:00         | X   | X     |         |     |
|  881 |                                        | X   |       |         |     |
|  882 |                                        | X   |       |         |     |
|  884 |                                        | X   |       |         |     |
|  888 |                                        | X   |       |         |     |
|  890 |                                        | X   | X     |         |     |
|  892 |                                        | X   |       |         |     |
|  893 |                                        | X   |       |         |     |
|  896 |                                        | X   |       |         |     |
|  897 |                                        | X   |       |         |     |
|  900 |                                        |     | X     |         |     |
|  910 |                                        |     | X     |         |     |
|  912 | No data at 04:00                       |     |       |         |     |
|  913 | No data at 04:00,05:00-23:00           |     |       |         |     |
|  914 | No data at 00:00-11:00                 |     |       |         |     |
|  920 |                                        |     | X     |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
|  927 |                                        | X   |       |         |     |
|  928 |                                        | X   |       |         |     |
|  929 |                                        | X   |       |         |     |
|  930 |                                        | X   |       |         |     |
|  931 |                                        |     | X     |         |     |
|  932 |                                        | X   |       |         |     |
|  933 |                                        | X   |       |         |     |
|  935 |                                        | X   |       |         |     |
|  936 |                                        | X   |       |         |     |
|  937 | No activity from 19:00 to 0:00         |     |       |         |     |
|  938 | No activity                            |     |       |         |     |
|  939 | No activity from 0:00 to 13:00         | X   |       |         |     |
|  940 |                                        | X   |       |         |     |
|  941 |                                        |     | X     |         |     |
|  942 |                                        |     |       |         | X   |
|  943 |                                        |     |       |         | X   |
|  952 |                                        |     | X     |         |     |
|  955 | No activity from 15:00 to 0:00         |     |       |         |     |
|  956 | No activity                            |     |       |         |     |
|  957 | No activity from 0:00 to 11:00         |     |       |         |     |
|  962 |                                        |     | X     |         |     |
|  970 |                                        | X   |       |         |     |
|  972 |                                        | X   | X     |         |     |
|  974 |                                        | X   |       |         |     |
|  975 |                                        | X   |       |         |     |
|  976 |                                        | X   |       |         |     |
|  978 |                                        | X   |       |         |     |
|  980 |                                        | X   |       |         |     |
|  981 |                                        | X   |       |         |     |
|  982 |                                        | X   | X     |         |     |
|  983 |                                        | X   |       |         |     |
|  997 |                                        |     | X     |         |     |
| 1002 |                                        |     | X     |         |     |
| 1005 | Solar Conjunction                      |     |       |         |     |
| 1006 | Solar Conjunction                      |     |       |         |     |
| 1007 | Solar Conjunction                      |     |       |         |     |
| 1008 | Solar Conjunction                      |     |       |         |     |
| 1009 | Solar Conjunction                      |     |       |         |     |
| 1010 | Solar Conjunction                      |     |       |         |     |
| 1011 | Solar Conjunction                      |     |       |         |     |
| 1012 | Solar Conjunction                      |     | X     |         |     |
| 1013 | Solar Conjunction                      |     |       |         |     |
| 1014 | Solar Conjunction                      |     |       |         |     |
| 1015 | Solar Conjunction                      |     |       |         |     |
| 1016 | Solar Conjunction                      |     |       |         |     |
| 1017 | Solar Conjunction                      |     |       |         |     |
| 1018 | Solar Conjunction                      |     |       |         |     |
| 1019 | Solar Conjunction                      |     |       |         |     |
| 1020 | Solar Conjunction                      |     |       |         |     |
| 1021 | Solar Conjunction                      |     |       |         |     |
|------+----------------------------------------+-----+-------+---------+-----|
|  Sol | Event                                  | GTS | HS    | HS      | PS  |
|      |                                        | Cal | Regen | Defrost | Cal |
|------+----------------------------------------+-----+-------+---------+-----|
| 1022 | Solar Conjunction                      |     | X     |         |     |
